year,manuf_name,num_manuf,brand,num_brand,model_name,price,cylinder,weight,horsepower,fuel_cost,nb_households,sj,i1b_poids_vide,i1b_puis_fisc,i1b_cylindree,i1b_euro_km,i2b_poids_vide,i2b_puis_fisc,i2b_cylindree,i2b_euro_km,i3b_poids_vide,i3b_puis_fisc,i3b_cylindree,i3b_euro_km
2003,"B.M.W.",1,"MINI",23,"MINI",2.08402,1.598,10.75,7,8.274489,7185267,.0005932,.8744197229,.859075,.8998355791,.8313005,.47792359,.648368,.5708152074,.4480506,.8641624884,.742639,.8585656611,.9583653
2003,"CHRYSLER",2,"CHRYSLER",4,"300M",4.465615,2.736,16.45,14,13.28933,7185267,2.00e-06,.895687616,.893478,.9261640686,.8507788,.2697252636,.271167,.2965224421,.2596095,.6863571556,.929042,.8435094969,.6408221
2003,"CHRYSLER",2,"CHRYSLER",4,"CROSSFIRE",4.548309,3.199,13.82,15,12.03562,7185267,1.34e-06,.895687616,.893478,.9261640686,.8507788,.2574309124,.243355,.2686726041,.2389568,.6863571556,.929042,.8435094969,.6408221
2003,"CHRYSLER",2,"CHRYSLER",4,"CROSSFIRE",4.38292,3.199,13.77,15,12.838,7185267,2.00e-06,.895687616,.893478,.9261640686,.8507788,.2574309124,.243355,.2686726041,.2389568,.6863571556,.929042,.8435094969,.6408221
2003,"CHRYSLER",2,"CHRYSLER",4,"G.VOYAGER",5.220889,3.301,20.85,13,15.59616,7185267,3.34e-06,.895687616,.893478,.9261640686,.8507788,.2429072443,.257261,.2732204477,.2435291,.3357402608,.306376,.3094292483,.2832831
2003,"CHRYSLER",2,"CHRYSLER",4,"G.VOYAGER",4.612039,2.499,19.9,9,6.712829,7185267,.0000307,.895687616,.893478,.9261640686,.8507788,.2429072443,.257261,.2732204477,.2435291,.3357402608,.306376,.3094292483,.2832831
2003,"CHRYSLER",2,"CHRYSLER",4,"PTCRUISER",2.482827,1.996,13.5,9,10.63146,7185267,.0000261,.895687616,.893478,.9261640686,.8507788,.256316254,.265953,.285814476,.2536522,.6105269619,.503685,.580945935,.5397468
2003,"CHRYSLER",2,"CHRYSLER",4,"PTCRUISER",2.775895,2.148,15.1,8,5.999388,7185267,.000344,.895687616,.893478,.9261640686,.8507788,.256316254,.265953,.285814476,.2536522,.6105269619,.503685,.580945935,.5397468
2003,"CHRYSLER",2,"CHRYSLER",4,"VOYAGER",4.428126,3.301,18.9,13,15.59616,7185267,4.01e-06,.895687616,.893478,.9261640686,.8507788,.2239801238,.241617,.2542153288,.2328333,.3357402608,.306376,.3094292483,.2832831
2003,"CHRYSLER",2,"CHRYSLER",4,"VOYAGER",3.755877,2.499,19.5,9,6.129104,7185267,4.68e-06,.895687616,.893478,.9261640686,.8507788,.2239801238,.241617,.2542153288,.2328333,.3357402608,.306376,.3094292483,.2832831
